feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,label
0.08401012769535854,0.30199123599585787,0.6278369517049973,0.8081465453898329,0.5641958036489922,0.1804965240522306,0.24900339327479315,0.7991948704617108,1
0.03066666418110997,0.6402506668524651,0.516136448261496,0.9969506915166283,0.7639807895312777,0.09665206099230073,0.4030346119580561,0.46250115588220175,0
0.3723211638616917,0.24417522869312414,0.07744765114847696,0.26310221951674506,0.6644780097624576,0.24948243108295898,0.9691408338064414,0.08267820020944994,1
0.06437966193692457,0.3703251040322295,0.4470624374779152,0.2582506675879217,0.900686922117319,0.36034373633836203,0.8922836736194867,0.2587613374369161,1
0.4857116355170693,0.45847588698454267,0.44223407852923946,0.7373385398662162,0.6962303891145506,0.1482263317003093,0.9817331721241331,0.30794117139775334,1
0.7272964480599592,0.9950929688783685,0.9307415408361984,0.9235000100089098,0.01586455917058638,0.4973195986591804,0.3939030024849336,0.2866916952317268,1
0.857264225914064,0.27000403508794435,0.19707566053771186,0.7179708792726118,0.2645449206593825,0.7608075604399541,0.08936462905678788,0.44746566032273505,0
0.688228785573497,0.3893272555601457,0.7372768860987882,0.5680439829235919,0.8367546736907923,0.03642474973953347,0.9865171321870373,0.2695650544848982,1
0.7724730891758878,0.36537394320288075,0.4718275003849156,0.4504152777365843,0.8624076389842763,0.3164686632658622,0.5979223395957988,0.27648814477815653,1
0.9883020565394703,0.27340650606214956,0.8292037565398531,0.9397775051735396,0.8163813070716966,0.2193327958297452,0.5040514494126913,0.3164215576966569,0
0.016247734956734705,0.009209023234199476,0.9090079237152501,0.7228605067576455,0.7372403066498937,0.8959587540279879,0.15938281506540453,0.8881200655856705,0
0.3850894825638561,0.19542637554199316,0.81907118081183,0.4522020963657478,0.5543763091567074,0.10483892481345536,0.9745443481962743,0.1081819819944726,0
0.1848137057517425,0.8194006567177428,0.7045202202067696,0.3123783531092543,0.9680559655557166,0.08764360545998784,0.3754987833192348,0.39660827177119606,1
0.21193203137156558,0.7729738170244411,0.5356059404809252,0.21738186779787516,0.11720788626155643,0.6809000576380826,0.6635816620670206,0.6552279636951528,0
0.4103150873290212,0.4110573737094694,0.7102229264915152,0.4839779236010012,0.11899963506691469,0.04304439439893992,0.6332789513646417,0.2155566878895454,1
0.7538528344471604,0.09014744290038845,0.15791874106980786,0.9649728571431919,0.9241061027659143,0.172155652842219,0.7148420569122511,0.6052358452221182,0
